[-3878.0, 5066.0]
[-3878.0, 5566.0]
[-3878.0, 5566.0]
[-3483.83709412, 5634.08526736]
[-3084.47126193, 5656.60041949]
[-2689.94969796, 5722.57568428]
[-2295.97477115, 5791.7403938]
[-2055.88683976, 5471.80636123]
[-1695.20492796, 5644.74727166]
[-1382.20151186, 5395.69133115]
[-1022.95940995, 5571.60355987]
[-628.171727561, 5635.96725956]
[-297.215245873, 5860.61767071]
[-75.0989079546, 5527.95518044]
[324.754204883, 5517.11598519]
[601.881968125, 5228.67153154]
[980.404884565, 5357.97892394]
[1216.52540482, 5680.85211873]
[1608.85279781, 5758.82145061]
[2008.76488486, 5750.43559165]
[2408.61569308, 5739.51171136]
[2804.87523814, 5684.93723975]
[3121.01095774, 5930.00499935]
[3492.74331076, 6077.704213]
[4829.92537775, 6278.13147511]
[4829.92537775, 6278.13147511]
[4839.98365916, 6678.00499383]
[5194.94798514, 6862.39677043]
[6377.77520053, 7252.70358574]
